# $Revision: 3 $
# $Author: brianai $
# $Date: 2016-05-30 14:29:55 -0500 (Mon, 30 May 2016) $
# lambda    approx_x	active
8264.522    	27 	1 	Ar
#8377.606	128   	1 	Ne                   
#8408.210       157  	1 	Ar   
#8418.462	165    	1 	Ne           
#8424.648       171   	1 	Ar
#8495.360	233    	1 	Ne            
8521.442        258   	1 	Ar    
#8654.383	373     1 	Ne       
8667.944        388   	1 	Ar
#9122.967       791     1 	Ar
9224.499        881   	1 	Ar       
9657.786        1264  	1 	Ar            
9784.503       	1378  	1 	Ar
10139.76 	1696 	1 	Hg 
10470.054	2000	1 	Ar
