wavelength      value
----------   --------
   5085.67	    0
   5461.65	    0
   5577.35	    1	
   5889.83          1
   5895.07          0
  5932.857	    1
 6235.7695	    1
   6257.92	    1
 6287.4873	    1
 6300.2954	    1
   6307.74 	    0
  6329.862	    1
 6363.7803	    1
   6466.00          0
   6470.00          0
   6499.35          0
   6533.32	    0
  6553.627	    1
   6563.06          0
  6577.308	    1
 6604.1343	    1
   6829.49          0
   6833.83          0
  6863.873	    1
  6912.623	    1
  6923.205	    1
 6939.5513	    1
 6949.0845	    1
 6978.4116	    1
