# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.314359   0.0033 0.721281  5  0 39  0                                          
0.314429   0.0021 0.729625  1  0  1  0                                          
0.314459   0.0036 0.732936  5  0 39  0                                          
0.314500   0.0056 0.737961  5  0 39  0                                          
0.314642   0.0058 0.747171  5  0 39  0                                          
0.314683   0.0029 0.748999  5  0 39  0                                          
0.314812   0.0012 0.747267  1  0  1  0                                          
0.314870   0.0050 0.745191  5  0 39  0                                          
0.314890   0.0017 0.744590  5  0 39  0                                          
0.314911   0.0032 0.744424  5  0 39  0                                          
0.315140   0.0053 0.751807  5  0 39  0                                          
0.315161   0.0020 0.751729  5  0 39  0                                          
0.315182   0.0041 0.751442  5  0 39  0                                          
0.315457   0.0037 0.733643  5  0 39  0                                          
0.315475   0.0014 0.730252  5  0 39  0                                          
0.315499   0.0036 0.725900  5  0 39  0                                          
0.316497   0.0014 0.789067  5  0 39  0                                          
0.317053   0.0023 0.793217  5  0 39  0                                          
0.317258   0.0028 0.794035  1  0  1  0                                          
0.321041   0.0029 0.908753  5  0 39  0                                          
0.321070   0.0081 0.910036  5  0 39  0                                          
0.321169   0.0017 0.911774  5  0 39  0                                          
0.321268   0.0045 0.911056  5  0 39  0                                          
0.321291   0.0017 0.910558  5  0 39  0                                          
0.321311   0.0042 0.910247  5  0 39  0                                          
0.321453   0.0037 0.907572  5  0 39  0                                          
0.321474   0.0016 0.907778  5  0 39  0                                          
0.321496   0.0028 0.908132  5  0 39  0                                          
0.321681   0.0033 0.912835  5  0 39  0                                          
0.321701   0.0017 0.913098  5  0 39  0                                          
0.321724   0.0032 0.912869  5  0 39  0                                          
0.321950   0.0020 0.881134  5  0 39  0                                          
